File,CurrentPrice,WinnerPrice,NextFile,NextPrice,RandomForest,XGBoost
1467212248,3.26,3.26,1467288754,4.97,3.26,3.26
1467212307,9.99,9.99,1467215598,9.99,9.99,9.99
1467212543,10.34,10.34,1467248842,10.34,10.34,10.34
1467212604,10.58,10.58,1467213452,10.55,10.62,10.58
1467212852,12.78,12.78,1467244840,11.63,12.78,12.78
1467212969,6.97,6.97,1467213631,6.97,6.97,6.97
1467213204,9.06,9.06,1467214228,9.05,9.06,9.06
1467213265,12.8,12.8,1467262281,12.79,12.8,12.8
1467213452,10.55,10.55,1467216443,10.52,10.55,10.55
1467213631,6.97,6.97,1467217644,6.97,6.97,6.97
1467213685,7.36,7.36,1467214636,7.35,7.36,7.36
1467213866,4.99,4.99,1467215727,4.98,4.99,4.99
1467214106,6.99,6.99,1467237751,6.98,6.99,6.99
1467214107,5.14,5.14,1467221358,5.14,5.14,5.14
1467214228,9.05,9.05,1467216753,9.01,9.05,9.05
1467214229,4.95,4.95,1467215728,4.95,4.95,4.95
1467214346,6.89,6.89,1467216262,6.88,6.89,6.89
1467214348,4.12,4.12,1467224180,4.1,4.12,4.12
1467214636,7.35,7.35,1467218734,7.32,7.35,7.35
1467214891,6.42,6.42,1467217585,6.32,6.42,6.42
1467214948,4.72,4.72,1467267798,4.72,4.72,4.72
1467215187,6.55,6.55,1467215484,6.55,6.55,6.55
1467215188,8.23,8.23,1467240385,8.23,8.23,8.23
1467215241,8.2,8.2,1467234397,8.2,8.2,8.2
1467215484,6.55,6.55,1467225801,6.55,6.55,6.55
1467215598,9.99,9.99,1467225921,9.98,9.99,9.99
1467215673,8.39,8.39,1467348078,8.39,8.58,8.54
1467215727,4.98,4.98,1467216146,4.98,4.98,4.98
1467215728,4.95,4.95,1467216390,4.95,4.95,4.95
1467215729,7.18,7.18,1467220225,7.17,7.18,7.18
1467215912,9.09,9.09,1467218316,9.09,9.09,9.09
1467215913,6.33,6.33,1467232403,6.33,6.33,6.33
1467215975,14.64,14.64,1467235111,14.64,14.64,14.64
1467216146,4.98,4.98,1467234398,4.98,4.98,4.98
1467216262,6.88,6.88,1467216864,6.88,6.88,6.88
1467216390,4.95,4.95,1467220648,4.95,4.95,4.95
1467216443,10.52,10.52,1467217889,10.54,10.55,10.52
1467216752,6.95,6.95,1467227004,6.93,6.95,6.95
1467216753,9.01,9.01,1467217343,9.01,9.01,9.01
1467216864,6.88,6.88,1467217120,6.88,6.88,6.88
1467217120,6.88,6.88,1467220944,6.88,6.88,6.88
1467217161,8.79,8.79,1467231207,8.79,8.79,8.79
1467217343,9.01,9.01,1467218190,9.01,9.01,9.01
1467217470,19.889999999999997,19.889999999999997,1467347072,19.889999999999997,19.89,19.89
1467217522,9.31,9.31,1467218483,9.3,9.31,9.31
1467217585,6.32,6.32,1467224297,6.47,6.32,6.32
1467217644,6.97,6.97,1467217771,6.97,6.97,6.97
1467217771,6.97,6.97,1467248602,7.81,6.97,6.97
1467217889,10.54,10.54,1467218615,10.54,10.57,10.54
1467218189,18.09,18.09,1467227005,18.09,18.09,18.09
1467218190,9.01,9.01,1467222021,8.99,9.01,9.01
1467218315,10.68,10.68,1467537868,10.58,10.68,10.68
1467218316,9.09,9.09,1467228517,9.09,9.09,9.09
1467218483,9.3,9.3,1467220714,9.29,9.3,9.3
1467218615,10.54,10.54,1467225139,10.49,10.57,10.54
1467218734,7.32,7.32,1467222625,7.31,7.32,7.32
1467219992,8.36,8.36,1467221911,8.36,9.2,8.43
1467220052,6.04,4.57,1467238707,6.04,4.57,4.57
1467220225,7.17,7.17,1467223589,7.16,7.17,7.17
1467220399,6.98,6.98,1467222270,6.98,6.98,6.98
1467220648,4.95,4.95,1467221781,4.95,4.95,4.95
1467220714,9.29,9.29,1467224903,9.25,9.29,9.29
1467220944,6.88,6.88,1467223470,6.88,6.88,6.88
1467221116,13.09,13.09,1467244835,13.09,13.09,13.09
1467221358,5.14,5.14,1467222210,5.14,5.14,5.14
1467221425,5.15,5.15,1467226167,5.15,5.15,5.15
1467221491,5.34,5.34,1467238045,5.34,5.34,5.34
1467221781,4.95,4.95,1467221961,4.95,4.95,4.95
1467221911,8.36,8.36,1467222506,8.36,9.2,8.43
1467221961,4.95,4.95,1467226714,4.95,4.95,4.95
